ID,TITLE,YEAR,SORTED BY
tm1200268,Red One,2024,IMDB_SCORE
tm29582,The Ramen Girl,2008,IMDB_SCORE
tm266647,Ocean's Eight,2018,IMDB_SCORE
tm266680,Girls Trip,2017,IMDB_SCORE
tm23416,Bring It On,2000,TMDB_POPULARITY
tm66697,Hostel: Part II,2007,TMDB_POPULARITY
tm155920,La Femme Nikita,1990,TMDB_POPULARITY
tm983787,Ava,2020,TMDB_POPULARITY
tm1621519,A Widow's Game,2025,IMDB_SCORE
tm1255032,MaXXXine,2024,IMDB_SCORE
tm1557110,My Fault: London,2025,IMDB_SCORE
tm232685,The Eyes of My Mother,2016,IMDB_SCORE
tm1521793,The Last Showgirl,2024,TMDB_POPULARITY
tm124636,Poison Ivy,1992,TMDB_POPULARITY
tm1228562,Scorpio Nights 3,2022,TMDB_POPULARITY
tm123639,"Salò, or the 120 Days of Sodom",1976,TMDB_POPULARITY
tm1124755,An Ordinary Mother,2022,IMDB_SCORE
tm53696,Hello I Must Be Going,2012,IMDB_SCORE
tm175425,Adore,2013,IMDB_SCORE
